Date,Name of State,Susceptible,Total predicted cases,Death Rate (Predicted),Recovery Rate (Predicted),Population Share,Action,Normalized Action,Reward
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,16,30.76923,3.475578874
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,4,7.692308,296080.856
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,8,15.38462,11009.34939
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,7,13.46154,97005.85851
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,17,32.69231,0.080389186
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30884378
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16165467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32746122.9
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104946687.9
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1941797
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30884378
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16165467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32746122.9
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104946686.9
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1941797
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30884378
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16165467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32746122.9
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104946685.9
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1941797
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,3,4.918033,1537627.703
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,17,27.86885,0.669169887
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,8,13.11475,11009.08102
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,17,27.86885,4.40398866
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,16,26.22951,0.218340408
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30884078
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16163767
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32745324.67
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104945007.8
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1940197
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30884078
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16163767
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32745324.67
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104945006.8
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1940197
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30884078
