Date,State,Vaccine.Distribution..,Lower.CI..new.using.n.50.,Upper.CI..new.using.n.50.
16-09-2020,Assam,18.9358676,15.96517976,21.90655544
16-09-2020,Delhi,20.13835014,16.13944429,24.13725599
16-09-2020,Jharkhand,19.32376519,16.39068533,22.25684505
16-09-2020,Maharashtra,21.7416602,17.72649144,25.75682896
16-09-2020,Nagaland,19.86035687,16.05270277,23.66801097
17-09-2020,Assam,19.81420126,16.42492877,23.20347375
17-09-2020,Delhi,20.32742156,17.03907696,23.61576616
17-09-2020,Jharkhand,19.63879686,16.27030958,23.00728414
17-09-2020,Maharashtra,20.98356396,17.08683302,24.8802949
17-09-2020,Nagaland,19.23601637,16.4085487,22.06348404
18-09-2020,Assam,19.08509277,16.25080116,21.91938438
18-09-2020,Delhi,21.12603967,16.83044907,25.42163027
18-09-2020,Jharkhand,19.93602047,16.74773632,23.12430462
18-09-2020,Maharashtra,20.64619322,16.82988053,24.46250591
18-09-2020,Nagaland,19.20665387,16.46439156,21.94891618
19-09-2020,Assam,19.16576312,15.5459576,22.78556864
19-09-2020,Delhi,22.0996237,18.38067976,25.81856764
19-09-2020,Jharkhand,19.14662925,15.38963437,22.90362413
19-09-2020,Maharashtra,20.07143313,16.44376973,23.69909653
19-09-2020,Nagaland,19.5165508,16.55489721,22.47820439
20-09-2020,Assam,20.19742824,16.67209592,23.72276056
20-09-2020,Delhi,20.52214573,17.59296564,23.45132582
20-09-2020,Jharkhand,19.75581244,15.83326927,23.67835561
20-09-2020,Maharashtra,20.39225873,16.58961544,24.19490202
20-09-2020,Nagaland,19.13235485,15.71046615,22.55424355
21-09-2020,Assam,19.45357304,16.51376505,22.39338103
21-09-2020,Delhi,21.03872672,17.25002562,24.82742782
21-09-2020,Jharkhand,18.7061022,16.0631573,21.3490471
21-09-2020,Maharashtra,21.32225014,17.70528735,24.93921293
21-09-2020,Nagaland,19.4793479,16.217277,22.7414188
22-09-2020,Assam,19.39092202,16.3609701,22.42087394
22-09-2020,Delhi,21.62808742,17.5959902,25.66018464
22-09-2020,Jharkhand,19.91465149,16.66423859,23.16506439
22-09-2020,Maharashtra,20.05043321,16.66788023,23.43298619
22-09-2020,Nagaland,19.01590586,15.88757023,22.14424149
23-09-2020,Assam,20.33020395,16.63929837,24.02110953
23-09-2020,Delhi,19.85755908,16.67165121,23.04346695
23-09-2020,Jharkhand,20.14891551,16.02860919,24.26922183
23-09-2020,Maharashtra,20.25898349,16.81414587,23.70382111
23-09-2020,Nagaland,19.40433797,16.25864794,22.550028
24-09-2020,Assam,19.04175311,16.27509806,21.80840816
24-09-2020,Delhi,21.03864108,17.40975034,24.66753182
24-09-2020,Jharkhand,20.11151452,16.56270478,23.66032426
24-09-2020,Maharashtra,19.58635892,15.99314389,23.17957395
24-09-2020,Nagaland,20.22173237,17.37459081,23.06887393
25-09-2020,Assam,19.66768172,16.5486828,22.78668064
25-09-2020,Delhi,20.48192771,17.07758827,23.88626715
25-09-2020,Jharkhand,20.47530782,16.83961375,24.11100189
25-09-2020,Maharashtra,19.26386866,16.29586866,22.23186866
25-09-2020,Nagaland,20.11121409,15.35300643,24.86942175
26-09-2020,Assam,19.65795292,16.3062652,23.00964064
26-09-2020,Delhi,20.39276889,17.18506856,23.60046922
26-09-2020,Jharkhand,18.69553908,15.25837513,22.13270303
26-09-2020,Maharashtra,20.10014306,16.88138991,23.31889621
26-09-2020,Nagaland,21.15359605,17.79153868,24.51565342
27-09-2020,Assam,18.83016932,15.19230656,22.46803208
27-09-2020,Delhi,21.2993843,17.28918602,25.30958258
27-09-2020,Jharkhand,19.59338122,15.84713189,23.33963055
27-09-2020,Maharashtra,20.04874295,16.75270645,23.34477945
27-09-2020,Nagaland,20.22832222,16.6575416,23.79910284
28-09-2020,Assam,19.16774194,15.93033646,22.40514742
28-09-2020,Delhi,21.6,17.515085,25.684915
28-09-2020,Jharkhand,19.0516129,14.34414418,23.75908162
28-09-2020,Maharashtra,19.96129032,16.27053768,23.65204296
28-09-2020,Nagaland,20.21935484,16.97694033,23.46176935
29-09-2020,Assam,19.06654699,16.5890675,21.54402648
29-09-2020,Delhi,20.30388511,16.51503503,24.09273519
29-09-2020,Jharkhand,19.06013591,15.95417478,22.16609704
29-09-2020,Maharashtra,20.02820874,16.5538431,23.50257438
29-09-2020,Nagaland,21.54122323,17.96379175,25.11865471
30-09-2020,Assam,18.99495537,15.4409137,22.54899704
30-09-2020,Delhi,19.80338895,16.14253056,23.46424734
30-09-2020,Jharkhand,18.74919157,16.15953819,21.33884495
30-09-2020,Maharashtra,21.04514293,17.35515509,24.73513077
30-09-2020,Nagaland,21.40732117,18.09952674,24.7151156
