"time","mean","lwr","upr"
"2020-09-17",-70.958736707177,-70.9815192961645,-70.9359541181895
"2020-09-18",-257.079871922173,-257.165853033352,-256.993890810993
"2020-09-19",-529.063585025258,-529.248608720658,-528.878561329859
"2020-09-20",-866.320693382993,-866.639189573434,-866.002197192553
"2020-09-21",-1251.79167440012,-1252.27894061494,-1251.3044081853
"2020-09-22",-1668.28843493015,-1668.98231629945,-1667.59455356085
"2020-09-23",-2095.81336517986,-2096.75558725799,-2094.87114310172
"2020-09-24",-2509.50678822007,-2510.74407010625,-2508.26950633389
"2020-09-25",-2878.03484994024,-2879.61989836484,-2876.44980151564
"2020-09-26",-3162.39895222038,-3164.39138165599,-3160.40652278477
"2020-09-27",-3315.23959812,-3317.70682630487,-3312.77236993514
"2020-09-28",-3280.64643059038,-3283.66454889671,-3277.62831228404
"2020-09-29",-2994.64812091999,-2998.30276062702,-2990.99348121296
"2020-09-30",-2386.44533069953,-2390.83249871576,-2382.05816268331
"2020-10-01",-1380.41361590959,-1385.64048644583,-1375.18674537335
"2020-10-02",101.074436450377,94.8887992219878,107.260073678766
"2020-10-03",2134.29807686992,2127.02211384179,2141.57403989805
"2020-10-04",4790.36292997152,4781.85214374523,4798.8737161978
"2020-10-05",8131.2763276495,8121.37305949141,8141.1795958076
"2020-10-06",12206.3284067385,12194.8619043747,12217.7949091023
"2020-10-07",17048.7973815501,17035.5842298188,17062.0105332813
"2020-10-08",22673.6981696412,22658.5431547442,22688.8531845382
"2020-10-09",29076.8502244607,29059.5477370521,29094.1527118692
"2020-10-10",36235.4946857005,36215.8307088282,36255.1586625729
"2020-10-11",44108.5982942089,44086.3530661544,44130.8435222635
"2020-10-12",52639.0936596893,52614.0450545421,52664.1422648365
"2020-10-13",61756.4582305506,61728.3859014592,61784.5305596419
"2020-10-14",71379.93699838,71348.6272815952,71411.2467151647
"2020-10-15",81421.3697789013,81386.6213264429,81456.1182313598
"2020-10-16",91788.1077114396,91749.737779404,91826.4776434751
"2020-10-17",102385.840664972,102343.69193205,102427.989397893
