"time","S","E","I","R","Epoch"
2020-09-16,176827268.62,2399309,7522336,6161470,10
2020-09-17,174819488.417842,3764258.44646657,7783639.65762798,6542997.0980634,10
2020-09-18,172745093.092732,4934836.85258199,8286604.84921274,6943848.8254735,10
2020-09-19,170553436.107079,5992923.9927035,8989050.00189983,7374973.51831729,10
2020-09-20,168206613.403107,6993646.1664881,9864493.04012731,7845631.01027743,10
2020-09-21,165676009.85287,7973456.85469551,10896882.1184465,8364034.79398791,10
2020-09-22,162940228.50067,8955493.88188792,12076884.2375235,8937776.99991913,10
2020-09-23,159983972.364095,9953067.34037978,13399249.3598087,9574094.55571668,10
2020-09-24,156797547.333563,10971939.4051956,14860874.4758525,10280022.4053886,10
2020-09-25,153376756.878063,12011828.0034952,16459336.0547449,11062462.6836966,10
2020-09-26,149723014.901199,13067433.3194935,18191746.6294504,11928188.7698575,10
2020-09-27,145843530.901935,14129211.9237215,20053841.5278613,12883799.2664822,10
2020-09-28,141751446.709568,15184044.9043848,22039262.6994987,13935629.3065483,10
2020-09-29,137465809.599653,16215938.2431293,24139003.7086682,15089632.0685492,10
2020-09-30,133011306.421915,17206803.68795,26341037.5140815,16351235.9960531,10
2020-10-01,128417695.294124,18137370.4169888,28630129.5314656,17725188.3774213,10
2020-10-02,123718905.154467,18988221.3869868,30987862.4560442,19215394.6225021,10
2020-10-03,118951842.882166,19740906.0724603,33392870.5339621,20824764.1314112,10
2020-10-04,114154940.92866,20379073.2402164,35821296.0569725,22555073.3941513,10
2020-10-05,109366563.28746,20889518.9612288,38247444.4284951,24406856.9428158,10
2020-10-06,104623391.326737,21263052.8008418,40644603.2753565,26379336.2170647,10
2020-10-07,99958920.066495,21495110.0612509,42985964.1847592,28470389.3074949,10
2020-10-08,95402204.7104473,21586002.0157378,45245604.4428116,30676572.4510033,10
2020-10-09,90976944.7752502,21540830.4589601,47399421.1052652,32993187.2805246,10
2020-10-10,86700970.1926858,21369049.5334744,49425969.9615386,35414393.9323013,10
2020-10-11,82586139.4457534,21083734.8066064,51307148.1523187,37933361.2153215,10
2020-10-12,78638615.1426825,20700652.553732,53028669.1496935,40542446.773892,10
2020-10-13,74859451.5838493,20237221.1451933,54580315.7272809,43233395.1636766,10
2020-10-14,71245404.4689551,19711467.6847269,55955968.622173,45997542.844145,10
2020-10-15,67789868.3059116,19141066.4975712,57153429.3295993,48826019.486918,10
2020-10-16,64483852.4895686,18542523.3063561,58174071.901725,51709935.9223503,10
2020-10-17,61316921.4907351,17930545.8582913,59022365.005911,54640551.2650627,10
2020-10-18,58278043.8419166,17317615.3826503,59705310.5423617,57609413.8530715,10
2020-10-19,55356313.8561145,16713753.5090625,60231843.3003376,60608472.9544855,10
2020-10-20,52541527.5874866,16126464.7120234,60612230.9816744,63630160.3388155,10
2020-10-21,49824608.854411,15560824.8995855,60857507.3127413,66667442.5532622,10
2020-10-22,47197891.4636628,15019683.1552143,60978962.7897783,69713846.2113446,10
2020-10-23,44655270.7709478,14503943.5162951,60987709.7058022,72763459.6269549,10
2020-10-24,42192241.8460054,14012896.1392523,60894330.8700896,75810914.7646527,10
2020-10-25,39805843.4920172,13544571.220502,60708615.1127879,78851353.7946929,10
2020-10-26,37494527.8857071,13096093.554572,60439377.6183679,81880384.561353,10
2020-10-27,35257975.0398307,12664020.2709373,60094359.2361159,84894029.0731161,10
2020-10-28,33096870.0409437,12244648.7119327,59680196.1122915,87888668.7548322,10
2020-10-29,31012659.4812902,11834285.2636516,59202449.1497262,90860989.7253321,10
2020-10-30,29007301.3724991,11429469.5443475,58665681.8978029,93807930.8053505,10
2020-09-16,176827268.62,2399309,7522336,6161470,9
2020-09-17,174819489.085185,3764257.84339853,7783639.59442648,6542997.09698958,9
2020-09-18,172745094.470963,4934835.71929836,8286604.61241829,6943848.81732075,9
2020-09-19,170553438.278472,5992922.35359832,8989049.49595311,7374973.49197681,9
2020-09-20,168206616.480563,6993644.01381871,9864492.17557587,7845630.95004243,9
2020-09-21,165676013.974424,7973454.1595489,10896880.8063163,8364034.67971077,9
2020-09-22,162940233.825455,8955490.60176076,12076882.3858452,8937776.80693947,9
2020-09-23,159983979.0689,9953063.42482737,13399246.8716159,9574094.25465633,9
2020-09-24,156797555.609419,10971934.8004062,14860871.2482989,10280021.9618755,9
2020-09-25,153376766.926431,12011822.6563736,16459331.9791269,11062462.0580688,9
2020-09-26,149723026.929497,13067427.181573,18191741.5920434,11928187.9168866,9
2020-09-27,145843545.118203,14129204.9551374,20053835.4115002,12883798.1351598,9
2020-09-28,141751463.316197,15184037.0779393,22039255.3858948,13935627.8399685,9
2020-09-29,137465828.786217,16215929.5484129,24138995.0814444,15089630.2039256,9
2020-09-30,133011328.357234,17206794.135371,26341027.4624914,16351233.6649038,9
2020-10-01,128417720.117816,18137360.0415178,28630117.9547091,17725185.5059569,9
2020-10-02,123718932.96836,18988210.251315,30987849.2680832,19215391.1322413,9
2020-10-03,118951873.742029,19740894.269271,33392855.668654,20824759.9400461,9
2020-10-04,114154974.836788,20379060.8932474,35821279.4732914,22555068.4166737,9
2020-10-05,109366600.186698,20889506.2248336,38247426.1155703,24406851.0928986,9
2020-10-06,104623431.096524,21263039.8577938,40644583.2569947,26379329.4086874,9
2020-10-07,99958962.5214379,21495097.1186806,42985942.5231079,28470381.4567736,9
2020-10-08,95402249.6017047,21585989.2992712,45245581.2408494,30676563.4781748,9
2020-10-09,90976991.7950662,21540818.2051119,47399396.507802,32993177.1120198,9
2020-10-10,86701018.9819621,21369037.9807247,49425944.1544879,35414382.5028253,9
2020-10-11,82586189.6043738,21083724.1856746,51307121.3600981,37933348.4698535,9
2020-10-12,78638666.2420678,20700643.077653,53028641.6307748,40542432.6695044,9
2020-10-13,74859503.1810103,20237212.9999267,54580287.7679736,43233379.6710894,9
2020-10-14,71245456.1210974,19711461.0210161,55955940.5289521,45997525.9489344,9
2020-10-15,67789919.5846781,19141061.4246946,57153401.4203198,48826001.1903075,9
2020-10-16,64483902.9939929,18542519.8882192,58174044.4962422,51709916.2415457,9
2020-10-17,61316970.858143,17930544.1121043,59022338.4166374,54640530.2331153,9
2020-10-18,58278091.7562337,17317615.280208,59705285.0652802,57609391.5182781,9
2020-10-19,55356360.053293,16713754.9803874,60231819.2069583,60608449.3793614,9
2020-10-20,52541571.8580314,16126467.6509455,60612208.5123267,63630135.5986964,9
2020-10-21,49824651.0432171,15560829.1707015,60857486.6714708,66667416.7346107,9
2020-10-22,47197931.4675574,15019688.6016104,60978944.1409879,69713819.4098444,9
2020-10-23,44655308.5344409,14503949.9674339,60987693.1726435,72763431.9454818,9
2020-10-24,42192277.3557953,14012903.4185004,60894316.5344984,75810886.311206,9
2020-10-25,39805876.7707824,13544579.1518849,60708603.0169663,78851324.6803664,9
2020-10-26,37494558.9856548,13096101.9684789,60439367.7674557,81880354.8984107,9
2020-10-27,35258004.0363833,12664029.0086273,60094351.6017639,84893998.9732255,9
2020-10-28,33096897.0268503,12244657.6288113,59680190.6368461,87888638.3274924,9
2020-10-29,31012684.5613494,11834294.2313789,59202445.750751,90860959.0765207,9
2020-10-30,29007324.6589975,11429478.4519047,58665680.4726975,93807900.0364003,9
2020-09-16,176827268.62,2399309,7522336,6161470,8
2020-09-17,174819489.057158,3764257.86874022,7783639.59706778,6542997.09703432,8
2020-09-18,172745094.412246,4934835.76767114,8286604.62242005,6943848.81766325,8
2020-09-19,170553438.184709,5992922.42465106,8989049.51754793,7374973.493092,8
2020-09-20,168206616.34585,6993644.10866431,9864492.21287331,7845630.95261273,8
2020-09-21,165676013.791354,7973454.280447,10896880.8635726,8364034.68462659,8
2020-09-22,162940233.585093,8955490.75192964,12076882.4676654,8937776.81531206,8
2020-09-23,159983978.760711,9953063.60833085,13399246.9831187,9574094.26783941,8
2020-09-24,156797555.221165,10971935.0220855,14860871.3952547,10280021.9814945,8
2020-09-25,153376766.444068,12011822.9217976,16459332.1680782,11062462.0860565,8
2020-09-26,149723026.337083,13067427.4969844,18191741.8304087,11928187.9555243,8
