"time","S","E","I","R","Epoch"
2020-09-16,177555908.51795,2399309,7522336,6161470,10
2020-09-17,175548866.604178,3763592.3295816,7783568.70146722,6542995.88272342,10
2020-09-18,173475185.524816,4933650.39500737,8286347.77891009,6943839.81921654,10
2020-09-19,171284245.55902,5991311.83043085,8988520.95858705,7374945.16991186,10
2020-09-20,168938148.786836,6991679.96379538,9863626.75376657,7845568.01355183,10
2020-09-21,166408268.960308,7971205.16643194,10895630.3783714,8363919.01283827,10
2020-09-22,163673182.11765,8953037.06839837,12075216.0211019,8937588.31080011,10
2020-09-23,160717548.595857,9950509.51341451,13397153.6419696,9573811.76670934,10
2020-09-24,157531615.658349,10969418.3970963,14858365.0910953,10279624.3714092,10
2020-09-25,154111111.992029,12009523.6488412,16456458.1711968,11061929.7058826,10
2020-09-26,150457360.836395,13065573.9212469,18188584.4134285,11927504.3468793,10
2020-09-27,146577466.228232,14128078.5302883,20050526.5045273,12882952.2549023,10
2020-09-28,142484452.033355,15183972.6799065,22035982.3034121,13934616.5012763,10
2020-09-29,138197238.631309,16217314.3388326,24136009.3443838,15088461.2034245,10
2020-09-30,133740381.938024,17210061.0757567,26338651.383723,16349929.1204464,10
2020-10-01,129143511.109678,18142977.4219901,28628749.4593405,17723785.5269409,10
2020-10-02,124440434.852509,18996667.110057,30987963.891077,19213957.6643069,10
2020-10-03,119667955.277488,19752682.4114222,33395005.2009746,20823380.6280655,10
2020-10-04,114864421.773122,20394654.6633204,35826086.782509,22553860.298999,10
2020-10-05,110068141.801781,20909341.7377968,38255576.0420261,24405963.9363459,10
2020-10-06,105315769.830854,21287495.2854883,40656809.8916643,26378948.5099437,10
2020-10-07,100640804.940537,21524475.6618972,43003013.1917424,28470729.7237728,10
2020-10-08,96072335.6131661,21620507.0121181,45268278.2381418,30677902.654524,10
2020-10-09,91634120.6345676,21580596.9498173,47428497.9010862,32995808.0324788,10
2020-10-10,87344069.9903538,21414103.90646,49462205.2067021,35418644.4144341,10
2020-10-11,83214139.1360718,21134010.7008234,51351256.258841,37939617.4222138,10
2020-10-12,79250598.4965471,20755998.5237605,53081307.4598822,40551119.0377602,10
2020-10-13,75454616.2253587,20297411.2768543,54642071.0602059,43244924.9555311,10
2020-10-14,71823063.890883,19776213.6079116,56027347.0432087,46012398.9759467,10
2020-10-15,68349450.4604655,19210030.3932691,57234848.7475035,48844693.9167119,10
2020-10-16,65024896.0664291,18615330.6455894,58265857.5824161,51732939.2235154,10
2020-10-17,61839070.5359941,18006797.1444147,59124747.913711,54668407.9238301,10
2020-10-18,58781041.196647,17396896.7997255,59818427.95806,57642657.5635174,10
2020-10-19,55839993.8975057,16795646.1429286,60355741.4893192,60647641.9881964,10
2020-10-20,53005808.7431869,16210552.3328332,60746869.3466379,63675793.095292,10
2020-10-21,50269485.7174506,15646700.510929,61002763.9606613,66720073.3289091,10
2020-10-22,47623427.7094817,15106953.7903211,61134640.7069109,69774001.3112363,10
2020-10-23,45061591.7660094,14592234.0454999,61153543.9440564,72831653.7623843,10
2020-10-24,42579528.2889752,14101851.700204,61069995.6800538,75887647.848717,10
2020-10-25,40174325.9998164,13633858.3159214,60893731.122289,78937108.0799232,10
2020-10-26,37844482.3765568,13185400.2512003,60633518.7542796,81975622.1359132,10
2020-10-27,35589719.1029844,12753055.4328063,60297059.2882413,84999189.693918,10
2020-10-28,33410760.2180874,12333140.5389825,59890954.7704678,88004167.9904123,10
2020-10-29,31309089.336219,11921979.4119163,59420737.3800758,90987217.3897388,10
2020-10-30,29286700.1479339,11516127.0620105,58890946.6655344,93945249.6424712,10
2020-09-16,177555908.51795,2399309,7522336,6161470,9
2020-09-17,175548867.306627,3763591.69480353,7783568.63492695,6542995.88159274,9
2020-09-18,173475186.974635,4933649.2029588,8286347.52972122,6943839.81063504,9
2020-09-19,171284247.841819,5991310.10753068,8988520.42640457,7374945.14219559,9
2020-09-20,168938152.020233,6991677.70270841,9863625.84481638,7845567.95019264,9
2020-09-21,166408273.287998,7971202.3377283,10895628.9995469,8363918.89267666,9
2020-09-22,163673187.705007,8953033.62863629,12075214.0763479,8937588.10795875,9
2020-09-23,160717555.626142,9950505.4111848,13397151.0302348,9573811.45038887,9
2020-09-24,157531624.328921,10969413.5779368,14858361.7054795,10279623.9056126,9
2020-09-25,154111122.510123,12009518.0596371,16456453.8990674,11061929.0491229,9
2020-09-26,150457373.414178,13065567.5144491,18188579.13741,11927503.4519128,9
2020-09-27,146577481.076937,14128071.2681901,20050520.1042893,12882951.068534,9
2020-09-28,142484469.356432,15183964.5390036,22035974.6582416,13934614.9642726,9
2020-09-29,138197258.616641,16217305.3142101,24136000.3365239,15088459.2505751,9
2020-09-30,133740404.749371,17210051.1853407,26338640.9024288,16349926.6808095,9
2020-10-01,129143536.877648,18142966.7104413,28628737.405552,17723782.5243092,9
2020-10-02,124440463.665464,18996655.6519705,30987950.1825968,19213954.0179186,9
2020-10-03,119667987.172928,19752670.3134988,33394989.7779389,20823376.2535846,9
2020-10-04,114864456.730119,20394642.0651696,35826069.6128919,22553855.1097697,9
2020-10-05,110068179.735122,20909328.8110374,38255557.1268737,24405957.8449169,9
2020-10-06,105315810.587496,21287482.2309131,40656789.2697002,26378941.4298406,9
2020-10-07,100640848.298931,21524462.7045827,43002990.9429588,28470721.5714771,9
2020-10-08,96072381.2858381,21620494.3945095,45268254.4860047,30677893.3515977,9
2020-10-09,91634168.2740225,21580584.9230516,47428472.8131155,32995797.5077604,9
2020-10-10,87344119.1984347,21414092.7202762,49462178.993026,35418632.6062131,9
2020-10-11,83214189.4761746,21134000.5927394,51351229.1687514,37939604.2802846,9
2020-10-12,79250649.5081499,20755989.7082023,53081279.7763473,40551104.5252505,9
2020-10-13,75454667.4399129,20297403.9351122,54642043.0925161,43244909.0504088,9
2020-10-14,71823114.8480241,19776207.8797087,56027319.118097,46012381.6721202,9
2020-10-15,68349500.7234387,19210026.370624,57234821.1992303,48844675.224657,9
2020-10-16,65024945.2356916,18615328.3694975,58265830.7423684,51732919.1703925,9
2020-10-17,61839118.2601675,18006796.604551,59124722.1001491,54668386.5530824,9
2020-10-18,58781087.1802624,17396897.9371049,59818403.4666105,57642634.9339722,9
2020-10-19,55840037.9052942,16795648.8551861,60355718.5847483,60647618.1727213,9
2020-10-20,53005850.6010673,16210556.4815268,60746848.2562738,63675768.1790821,9
2020-10-21,50269525.3104205,15646705.9301994,61002744.8698403,66720047.4074898,9
2020-10-22,47623464.9771709,15106960.2960974,61134623.7563883,69773974.4882934,9
2020-10-23,45061626.6964278,14592241.4445709,61153529.2294412,72831626.1475101,9
2020-10-24,42579560.9111935,14101859.7985552,61069983.2530242,75887619.5551771,9
2020-10-25,40174356.3762206,13633866.9258785,60893720.9933282,78937079.2225227,9
2020-10-26,37844510.5952153,13185409.1971304,60633510.8965734,81975592.8290309,9
2020-10-27,35589745.2705283,12753064.5552852,60297053.6423806,84999160.0497559,9
2020-10-28,33410784.4533872,12333149.6974585,59890951.2496099,88004138.1174943,9
2020-10-29,31309111.7649998,11921988.4860269,59420735.8752516,90987187.3916716,9
2020-10-30,29286720.8983737,11516135.9517651,58890947.0508425,93945219.6169687,9
2020-09-16,177555908.51795,2399309,7522336,6161470,8
2020-09-17,175548867.367347,3763591.63991736,7783568.62919023,6542995.88149541,8
2020-09-18,173475187.100942,4933649.09900049,8286347.50811418,6943839.80989311,8
2020-09-19,171284248.042176,5991309.95599117,8988520.37999395,7374945.13978918,8
2020-09-20,168938152.306093,6991677.50210258,9863625.76508619,7845567.94466803,8
2020-09-21,166408273.673437,7971202.08448918,10895628.8778707,8363918.88215357,8
2020-09-22,163673188.206482,8953033.31771291,12075213.9036395,8937588.0901152,8
2020-09-23,160717556.262333,9950505.03646811,13397150.7967166,9573811.42243207,8
2020-09-24,157531625.120588,10969413.132585,14858361.4005365,10279623.8642403,8
2020-09-25,154111123.479953,12009517.536349,16456453.511168,11061928.9904796,8
2020-09-26,150457374.586606,13065566.9057169,18188578.6540846,11927503.3715428,8
2020-09-27,146577482.477902,14128070.5665537,20050519.5121588,12882950.9613352,8
2020-09-28,142484471.013086,15183963.7373123,22035973.9430994,13934614.8244528,8
2020-09-29,138197260.556964,16217304.4059059,24135999.483466,15088459.0716137,8
2020-09-30,133740407.001729,17210050.1647561,26338639.896038,16349926.4554268,8
2020-10-01,129143539.470253,18142965.5731145,28628736.2301354,17723782.244447,8
2020-10-02,124440466.625765,18996654.394977,30987948.8224756,19213953.6747329,8
2020-10-03,119667990.526908,19752668.9357939,33394988.2177937,20823375.8374548,8
2020-10-04,114864460.501524,20394640.5679385,35826067.8381607,22553854.6103267,8
2020-10-05,110068183.944608,20909327.1980496,38255555.1242014,24405957.2510914,8
2020-10-06,105315815.251709,21287480.508867,40656787.0274378,26378940.7299361,8
2020-10-07,100640853.429547,21524460.8834293,43002988.4517056,28470720.7532685,8
